"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14090","User login @master @sanity @regression","chromium","2025-11-26","passed","2025-11-26","","Login.spec.ts","",""
"","6198","login data driven from csv testdata: Valid Login","chromium","2025-11-24","passed","2025-11-24","","LoginDataDriven.spec.ts","",""
"","4778","Forgot Password from JSON testdata: Invalid Login @datadriven","chromium","2025-11-26","passed","2025-11-26","","ForgotPassword.spec.ts","",""
"","9792","User Registration test","chromium","2025-11-19","passed","2025-11-19","","AccountRegistration.spec.ts","",""
"","3726","Login Data Driven from JSON testdata: Invalid Login @datadriven","chromium","2025-11-26","passed","2025-11-26","","LoginDataDriven.spec.ts","",""
"","30393","Login Data Driven from JSON testdata: Invalid Login @datadriven","chromium","2025-11-21","broken","2025-11-21","","ForgotPassword.spec.ts","",""
"","8916","Logout","chromium","2025-11-24","passed","2025-11-24","","Logout.spec.ts","",""
"","6090","Forgot Password from JSON testdata: Valid Login @datadriven","chromium","2025-11-26","passed","2025-11-26","","ForgotPassword.spec.ts","",""
"","6274","Login Data Driven from JSON testdata: Valid Login @datadriven","chromium","2025-11-21","passed","2025-11-21","","ForgotPassword.spec.ts","",""
"","11759","Search Products and Compare @master @sanity @regression","chromium","2025-11-26","passed","2025-11-26","","ProductCompare.spec.ts","",""
"","10285","Add to WishList from Featured section","chromium","2025-11-24","passed","2025-11-24","","WishList.spec.ts","",""
"","14359","User Registration test @master @sanity @regression","chromium","2025-11-26","passed","2025-11-26","","AccountRegistration.spec.ts","",""
"","6897","login data driven from csv testdata: Invalid Login @datadriven","chromium","2025-11-19","passed","2025-11-19","","LoginDataDriven.spec.ts","",""
"","4203","Login Data Driven from JSON testdata: Valid Login @datadriven","chromium","2025-11-26","passed","2025-11-26","","LoginDataDriven.spec.ts","",""
"","7428","Search Product and add to cart","chromium","2025-11-24","passed","2025-11-24","","AddToCart.spec.ts","",""
"","5304","login data driven from csv testdata: Invalid Login","chromium","2025-11-24","passed","2025-11-24","","LoginDataDriven.spec.ts","",""
"","8394","Verify Homepage from Shopping Cart Page","chromium","2025-11-24","passed","2025-11-24","","HomePage.spec.ts","",""
"","11272","Add to Wish List and Verify","chromium","2025-11-24","passed","2025-11-24","","WishList.spec.ts","",""
"","7092","login data driven from csv testdata: Valid Login @datadriven","chromium","2025-11-19","passed","2025-11-19","","LoginDataDriven.spec.ts","",""
"","8516","Add Product to Cart and verify shopping cart","chromium","2025-11-24","passed","2025-11-24","","ShoppingCart.spec.ts","",""
"","23220","Execute end-to-end testcase flow","chromium","2025-11-24","passed","2025-11-24","","EndToEndTest.spec.ts","",""
"","5934","Search Products @master @sanity @regression","chromium","2025-11-26","passed","2025-11-26","","SearchProduct.spec.ts","",""
"","12542","My Account Information Page","chromium","2025-11-24","passed","2025-11-24","","MyAccount.spec.ts","",""
"","7636","User login","chromium","2025-11-19","failed","2025-11-19","","Login.spec.ts","",""
