"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6598","Search Products @master @sanity @regression","chromium","Thu Nov 20 10:26:57 EST 2025","passed","Thu Nov 20 10:27:03 EST 2025","","SearchProduct.spec.ts","",""
"","9792","User Registration test","chromium","Wed Nov 19 11:50:29 EST 2025","passed","Wed Nov 19 11:50:39 EST 2025","","AccountRegistration.spec.ts","",""
"","6897","login data driven from csv testdata: Invalid Login @datadriven","chromium","Wed Nov 19 17:57:39 EST 2025","passed","Wed Nov 19 17:57:46 EST 2025","","LoginDataDriven.spec.ts","",""
"","11831","Login Data Driven from JSON testdata: Valid Login @datadriven","chromium","Wed Nov 19 17:57:25 EST 2025","passed","Wed Nov 19 17:57:37 EST 2025","","LoginDataDriven.spec.ts","",""
"","7092","login data driven from csv testdata: Valid Login @datadriven","chromium","Wed Nov 19 17:57:39 EST 2025","passed","Wed Nov 19 17:57:46 EST 2025","","LoginDataDriven.spec.ts","",""
"","8659","Logout","chromium","Wed Nov 19 18:26:03 EST 2025","passed","Wed Nov 19 18:26:11 EST 2025","","Logout.spec.ts","",""
"","12539","Execute end-to-end testcase flow","chromium","Thu Nov 20 14:07:35 EST 2025","passed","Thu Nov 20 14:07:48 EST 2025","","EndToEndTest.spec.ts","",""
"","7636","User login","chromium","Wed Nov 19 14:29:17 EST 2025","failed","Wed Nov 19 14:29:25 EST 2025","","Login.spec.ts","",""
"","11752","Login Data Driven from JSON testdata: Invalid Login @datadriven","chromium","Wed Nov 19 17:57:25 EST 2025","passed","Wed Nov 19 17:57:37 EST 2025","","LoginDataDriven.spec.ts","",""
"","16169","User Registration test @master @sanity @regression","chromium","Wed Nov 19 14:45:36 EST 2025","passed","Wed Nov 19 14:45:52 EST 2025","","AccountRegistration.spec.ts","",""
"","7452","Search Product and add to cart","chromium","Thu Nov 20 10:49:17 EST 2025","passed","Thu Nov 20 10:49:25 EST 2025","","AddToCart.spec.ts","",""
"","9182","User login @master @sanity @regression","chromium","Wed Nov 19 14:45:36 EST 2025","passed","Wed Nov 19 14:45:45 EST 2025","","Login.spec.ts","",""
